,year,week,statefips,new_case_rate,case_rate,new_death_rate,death_rate,new_test_rate,test_rate,new_vaccine_rate,vaccine_rate,fullvaccine_rate,booster_first_rate,hospitalized_rate
356,2020,09,42,0.0156,0.0195,,0.0,0.0321,0.03474,,,,,0.0
357,2020,09,44,0.0057666666666666665,0.19514285714285712,,0.0,0.35208000000000006,0.7836666666666666,,,,,0.06734
358,2020,09,45,0.0,0.0388,,0.0,0.010799999999999999,0.103075,,,,,0.0
359,2020,09,46,,,,,,,,,,,
360,2020,09,47,0.0,0.0146,,0.0,,,,,,,
361,2020,09,48,0.0023229999999999995,0.040271428571428576,,0.0,1.544575,1.5451000000000001,,,,,0.004221428571428572
362,2020,09,49,0.0025457142857142857,0.03501428571428571,,0.0,,0.499,,,,,
363,2020,09,50,,0.16,,0.0,0.5966666666666667,0.5264,,,,,
364,2020,09,51,,0.0117,,0.0,0.014971428571428568,75.54285714285716,,,,,0.0
365,2020,09,53,0.09432857142857143,0.337,0.02997142857142857,0.061542857142857135,2.517857142857143,4.714,,,,,0.01695285714285714
366,2020,09,54,,,,,,,,,,,0.0
367,2020,09,55,0.0,0.017199999999999997,,0.0,0.0565,0.1718,,,,,
368,2020,09,56,,,,,0.15316666666666665,0.39514285714285713,,,,,0.0
369,2020,10,1,0.122,0.153,,0.0,2.312857142857143,12.704285714285714,,,,,0.0008328571428571429
370,2020,10,2,0.0,0.13699999999999998,,0.0,1.016,3.32,,,,,
371,2020,10,4,0.011201428571428572,0.07237142857142857,,0.0,0.8598571428571429,2.7871428571428574,,,,,0.0
372,2020,10,5,0.11793333333333333,0.123775,,0.0,0.11154285714285714,0.4094285714285714,,,,,0.024825
373,2020,10,6,0.061971428571428566,0.3544285714285714,0.0009157142857142857,0.004907142857142858,0.16615714285714286,1.8014285714285714,,,,,0.0005167142857142857
374,2020,10,8,0.10711428571428572,0.3171428571428571,0.01304,0.0031885714285714286,2.3766666666666665,2.9799999999999995,,,,,0.0174
375,2020,10,9,0.04011666666666666,0.07834285714285714,,0.0,0.8460000000000001,3.3314285714285714,,,,,
376,2020,10,10,0.18833333333333332,0.25049999999999994,,0.0,0.42766666666666664,1.3325,,,,,
377,2020,10,11,0.20657142857142857,0.5677142857142857,,0.0,0.4882857142857143,2.1785714285714284,,,,,
378,2020,10,12,0.021757142857142857,0.08381428571428572,9.5e-05,0.007505714285714284,1.881714285714286,7.637142857142857,,,,,0.0
379,2020,10,13,0.03832857142857143,0.1401857142857143,0.0,0.0011542857142857142,0.45499999999999996,0.33350285714285716,,,,,0.018072857142857144
380,2020,10,15,0.0204,0.12060000000000001,,0.0,0.14057142857142857,0.6915714285714286,,,,,0.06765714285714286
381,2020,10,16,0.22399999999999998,0.112,,0.0,0.5874285714285714,2.6028571428571428,,,,,0.0
382,2020,10,17,0.028014285714285714,0.10865714285714285,,0.0,0.43775000000000003,2.972,,,,,0.0
383,2020,10,18,0.021547142857142855,0.06649999999999999,,0.0,0.4478142857142857,1.1735714285714285,,,,,0.00819
384,2020,10,19,0.11715000000000002,0.27772857142857144,,0.0,0.24842857142857144,1.0425714285714285,,,,,0.05239428571428572
385,2020,10,20,0.012914285714285713,0.05512857142857142,0.0,0.0043185714285714286,0.24892857142857144,0.7252857142857143,,,,,0.0021014285714285714
386,2020,10,21,0.035371428571428574,0.1061857142857143,,0.0,0.22404285714285715,0.6501428571428571,,,,,0.019657142857142856
387,2020,10,22,0.16904,0.20846666666666666,,0.0005983333333333333,0.24413333333333334,0.3748142857142857,,,,,0.0751842857142857
388,2020,10,23,0.0744,0.1118,,0.0,3.176666666666667,5.49,,,,,0.07434285714285714
389,2020,10,24,0.026642857142857142,0.11417142857142856,,0.0,,,,,,,0.0
390,2020,10,25,0.17597142857142853,0.6324285714285713,,0.0,2.213142857142857,6.917142857142857,,,,,
