,year,week,statefips,month,day,spend_all,spend_aap,spend_acf,spend_aer,spend_apg,spend_durables,spend_nondurables,spend_grf,spend_gen,spend_hic,spend_hcs,spend_inpersonmisc,spend_remoteservices,spend_sgh,spend_tws,spend_retail_w_grocery,spend_retail_no_grocery,spend_all_incmiddle,spend_all_q1,spend_all_q2,spend_all_q3,spend_all_q4,provisional,date
105,2020,02,5,1.0,16.0,0.007228571428571429,0.008385714285714286,0.020904285714285716,0.0881857142857143,0.025704714285714286,0.0047771428571428565,0.01900571428571429,-0.0037964285714285717,0.04178571428571428,-0.05664285714285714,0.09231428571428571,0.09088571428571428,0.012699999999999998,0.0864,0.014499999999999999,0.017345857142857142,0.035691428571428575,0.015441428571428573,-0.006305714285714285,0.01263857142857143,0.026804285714285715,-0.05729571428571429,0,2020-01-16 00:00:00
106,2020,02,6,1.0,16.0,0.009453428571428573,0.011397285714285716,0.0031752857142857143,-0.015452857142857143,0.005289,0.009511428571428572,0.0019228571428571435,-0.002886285714285714,0.005074285714285714,-0.026100000000000005,0.01302857142857143,0.012164285714285714,0.014741428571428572,0.03640714285714286,0.0037649999999999997,0.006036142857142857,0.009102857142857143,0.005097142857142857,0.007322857142857143,0.0033551428571428573,0.006001142857142858,0.012252857142857143,0,2020-01-16 00:00:00
107,2020,02,8,1.0,16.0,0.014782857142857144,0.017228571428571426,0.014199999999999999,0.03534285714285714,0.02021571428571428,0.015349857142857143,0.0034947142857142863,-0.015797142857142857,0.05792714285714286,0.0021142857142857144,-0.029795857142857145,0.014144,0.04134585714285714,0.007594285714285715,-0.004778571428571429,0.01259857142857143,0.024878285714285714,0.0017150000000000002,0.017772857142857142,0.008571504285714288,-0.0015930000000000002,0.027914285714285718,0,2020-01-16 00:00:00
108,2020,02,9,1.0,16.0,0.016595714285714287,-0.07901428571428572,-0.011737142857142857,0.00658,-0.05094285714285714,0.012617142857142855,0.0033214285714285715,0.035577142857142856,-0.030482857142857145,0.054585714285714286,-0.06749285714285715,0.04112857142857144,0.0481,-0.06361285714285714,0.04551857142857142,0.006433428571428571,-0.0073654285714285705,0.027100000000000003,0.01914142857142857,-0.007431428571428574,0.03599714285714285,0.011327428571428573,0,2020-01-16 00:00:00
109,2020,02,10,1.0,16.0,0.031057142857142856,0.1412,0.01725714285714286,-0.09032857142857142,0.0747392857142857,-0.02411,0.033518285714285716,-0.004099999999999999,0.011147142857142857,-0.07177142857142857,0.12284285714285713,-0.04946285714285715,0.06805714285714286,0.041069999999999995,0.02997714285714286,0.014734285714285714,0.021931428571428574,0.016502857142857142,0.04627142857142857,0.021905714285714285,0.014355714285714288,0.05845714285714286,0,2020-01-16 00:00:00
110,2020,02,11,1.0,16.0,0.025182857142857142,0.05814285714285715,0.09644285714285714,0.05283571428571428,0.04681428571428571,-0.0014142857142857128,0.027622857142857147,-0.0053142857142857115,0.016185714285714296,0.1269657142857143,-0.03522714285714286,0.06671428571428571,0.006538571428571429,0.09111428571428572,-0.03953428571428571,0.018995714285714282,0.027774285714285713,-0.003730428571428571,0.0983714285714286,0.11455714285714283,-0.005392857142857143,0.01909,0,2020-01-16 00:00:00
111,2020,02,12,1.0,16.0,0.01731285714285714,-0.008347142857142857,0.009877,0.04028571428571429,-0.0026395714285714286,0.011800000000000001,0.003848571428571429,0.006634285714285715,0.00649,0.01307,0.01974,0.032657142857142864,0.03131714285714286,0.011454285714285714,0.03697142857142858,0.006904285714285714,0.0069489999999999994,0.015785714285714285,0.018191428571428574,0.014002285714285715,0.01788,0.02041,0,2020-01-16 00:00:00
112,2020,02,13,1.0,16.0,0.004741,-0.0029500000000000004,-0.0036428571428571417,0.11295714285714285,-0.0029714285714285715,-0.01013142857142857,-0.011565714285714285,-0.014685714285714285,-0.012765714285714285,-0.05104285714285713,0.0006242857142857138,0.008829600000000002,0.018054285714285714,-0.026194285714285715,-0.014427142857142857,-0.011525714285714287,-0.010145714285714286,-3.1142857142857065e-05,0.022585714285714285,-0.001652571428571429,0.0010228571428571424,0.0034214285714285714,0,2020-01-16 00:00:00
113,2020,02,15,1.0,16.0,0.0049299999999999995,0.08101428571428572,-0.02582142857142857,-0.044948571428571435,0.04734285714285714,0.04238571428571429,0.0028214285714285707,-0.010392857142857143,0.018917142857142855,-0.02505714285714286,0.16034285714285718,0.00984,0.0026751428571428573,0.04718714285714286,0.026714285714285715,0.01645,0.038072857142857144,-0.0030095714285714283,,-0.013491428571428573,-0.0029700000000000004,0.008162857142857142,0,2020-01-16 00:00:00
114,2020,02,16,1.0,16.0,0.0031085714285714297,-0.002958571428571429,-0.028424285714285714,-0.02417142857142857,-0.015482000000000001,0.0006728571428571427,-0.07061285714285714,-0.02841428571428572,-0.17580857142857137,0.05957571428571429,-0.03227857142857143,0.03303285714285715,0.0026300000000000013,-0.06482285714285714,0.004830000000000001,-0.04562857142857143,-0.05360999999999999,-0.0032214285714285717,-0.002157142857142858,0.0028942857142857147,-0.01667142857142857,0.025798857142857144,0,2020-01-16 00:00:00
115,2020,02,17,1.0,16.0,0.014677142857142859,-0.04007142857142857,-0.021831428571428568,0.15108571428571427,-0.004639999999999999,0.005722857142857142,0.00254857142857143,0.0003285714285714271,0.02511,-0.011014285714285714,0.019114285714285716,0.026528571428571426,0.04264714285714285,-0.02174857142857143,-0.0045307142857142855,0.0016814285714285703,0.000955714285714286,0.015611428571428571,0.019382857142857143,0.013218571428571427,0.016664285714285715,0.012581285714285715,0,2020-01-16 00:00:00
116,2020,02,18,1.0,16.0,0.022005714285714288,0.07778571428571428,0.03997142857142857,0.11199999999999999,0.0402,0.008127142857142857,0.021071428571428574,0.022694285714285715,-6.785714285714271e-05,-0.059399999999999994,0.03550285714285714,0.01812857142857143,-0.00391142857142857,0.011267142857142856,0.0094,0.015838571428571428,0.013805714285714284,0.01829428571428571,0.0318,0.00970857142857143,0.0322,0.026914285714285714,0,2020-01-16 00:00:00
117,2020,02,19,1.0,16.0,-0.02072642857142857,-0.07174285714285714,-0.05124285714285714,-0.11312857142857144,-0.0656,-0.028191285714285714,-0.0026371428571428566,0.0122,-0.02656285714285714,-0.02655714285714286,-0.04659,-0.007978571428571429,-0.006943999999999999,-0.07234285714285714,-0.019761428571428572,-0.017012857142857142,-0.02994142857142857,-0.021795714285714286,0.00527714285714286,-0.02059714285714286,-0.022842857142857144,-0.03374,0,2020-01-16 00:00:00
118,2020,02,20,1.0,16.0,0.013035714285714286,-0.09246428571428573,0.012065714285714287,0.20342857142857143,-0.008492857142857144,0.004671428571428572,-0.03242857142857143,-0.0010242857142857154,-0.06168571428571428,-0.09119999999999999,0.02308571428571429,-0.010111428571428568,2.7999999999999254e-05,0.03628571428571429,0.017587142857142857,-0.019071428571428573,-0.028757142857142853,0.025107142857142856,-0.00990142857142857,0.021981428571428572,0.02910857142857143,0.009957142857142855,0,2020-01-16 00:00:00
119,2020,02,21,1.0,16.0,0.023482857142857142,0.017528571428571428,0.02794285714285714,0.06715142857142856,0.03614285714285714,0.006977142857142857,0.0143741,0.017894285714285713,0.02581428571428571,-0.004367142857142857,0.20068571428571427,0.04768571428571428,0.032557142857142854,0.06824285714285715,0.021765714285714284,0.0074399999999999996,-0.002282142857142857,0.02747142857142857,0.01064142857142857,0.026194285714285715,0.03142857142857143,0.0762,0,2020-01-16 00:00:00
120,2020,02,22,1.0,16.0,0.004568285714285715,0.009235714285714288,0.022799999999999997,0.15548571428571428,0.006460571428571428,-0.013074285714285714,-0.00669,-0.007184285714285714,0.008474285714285714,-0.06695714285714285,0.007948571428571432,0.0004527142857142859,0.020940285714285713,0.17797142857142859,0.015173142857142857,-0.006345714285714286,-0.005697142857142856,0.006758571428571428,0.004863571428571428,0.0066952857142857135,0.007042857142857142,-0.04371428571428572,0,2020-01-16 00:00:00
